# time f200lp f300x f350lp f475x f600lp f850lp f218w f225w f275w f336w f390w f438w f475w f555w f606w f625w f775w f814w f105w f110w f125w f140w f160w f070w f090w f115w f150w f150w2 f200w f277w f322w2 f356w f444w f0560w f0770w f1000w
-1.95 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.85 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.75 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.65 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.55 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.45 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.35 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.25 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.15 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.05 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.95 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.85 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.75 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.65 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.55 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.45 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.35 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.25 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.15 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.05 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
2.85 -11.505 -2.631 -12.007 -9.201 -13.071 -14.356 -1.733 -2.862 -1.774 -3.127 -5.155 -6.627 -8.05 -9.722 -10.884 -11.293 -12.878 -13.448 -14.934 -14.958 -15.039 -15.168 -15.251 -12.035 -14.868 -15.122 -15.175 -15.294 -14.95 -14.789 -14.491 -14.089 -12.87 -12.453 -12.099 -7.015
2.95 -11.443 -3.297 -11.944 -9.109 -13.011 -14.29 -1.711 -2.954 -2.667 -4.616 -5.882 -7.001 -8.018 -9.62 -10.821 -11.226 -12.827 -13.388 -14.874 -14.9 -14.976 -15.119 -15.209 -12.001 -14.821 -15.055 -15.133 -15.261 -14.942 -14.74 -14.46 -14.094 -12.887 -12.463 -12.061 -7.95
3.05 -11.418 -2.439 -11.92 -8.853 -12.995 -14.281 -1.644 -2.779 -1.665 -1.359 -5.39 -6.468 -7.718 -9.383 -10.73 -11.138 -12.816 -13.376 -14.863 -14.884 -14.963 -15.097 -15.197 -11.996 -14.831 -15.042 -15.121 -15.255 -14.923 -14.756 -14.477 -14.112 -12.962 -12.471 -12.075 -7.138
3.15 -11.367 -2.313 -11.869 -8.853 -12.943 -14.243 -1.567 -2.734 -1.613 0.598 -3.896 -5.315 -7.749 -9.393 -10.664 -11.066 -12.748 -13.326 -14.844 -14.882 -14.976 -15.114 -15.207 -11.897 -14.823 -15.039 -15.134 -15.267 -14.933 -14.783 -14.51 -14.156 -12.963 -12.487 -12.002 -7.373
3.25 -11.311 -2.439 -11.812 -8.812 -12.885 -14.177 -1.543 -2.679 -1.563 -2.668 -5.063 -6.144 -7.606 -9.343 -10.604 -11.016 -12.7 -13.278 -14.784 -14.816 -14.91 -15.058 -15.165 -11.825 -14.788 -14.974 -15.087 -15.239 -14.915 -14.775 -14.494 -14.123 -13.019 -12.562 -12.157 -7.882
3.35 -11.26 -2.702 -11.762 -8.605 -12.84 -14.146 -1.454 -2.635 -1.519 -3.931 -4.288 -5.941 -7.263 -9.153 -10.499 -10.927 -12.648 -13.231 -14.749 -14.79 -14.894 -15.027 -15.116 -11.774 -14.786 -14.929 -15.051 -15.222 -14.897 -14.755 -14.493 -14.158 -13.086 -12.609 -12.096 -8.96
3.45 -11.245 -2.121 -11.747 -8.59 -12.824 -14.164 -1.481 -2.633 -1.514 0.823 -4.659 -5.918 -7.212 -9.123 -10.492 -10.913 -12.582 -13.213 -14.756 -14.801 -14.905 -15.035 -15.128 -11.694 -14.799 -14.946 -15.059 -15.232 -14.887 -14.784 -14.517 -14.171 -13.148 -12.671 -12.139 -7.545
3.55 -11.146 -2.267 -11.648 -8.426 -12.727 -14.081 -1.412 -2.542 -1.421 -1.688 -5.395 -5.431 -7.169 -8.956 -10.304 -10.714 -12.483 -13.122 -14.718 -14.766 -14.879 -15.033 -15.145 -11.607 -14.768 -14.923 -15.069 -15.232 -14.9 -14.776 -14.519 -14.193 -13.187 -12.628 -12.198 -7.214
3.65 -11.129 -2.301 -11.631 -8.355 -12.713 -14.035 -1.334 -2.51 -1.389 -3.333 -4.572 -4.611 -6.783 -8.917 -10.334 -10.758 -12.501 -13.106 -14.654 -14.716 -14.835 -14.987 -15.102 -11.652 -14.755 -14.86 -15.025 -15.205 -14.869 -14.783 -14.531 -14.216 -13.179 -12.728 -12.042 -5.585
3.75 -11.096 -2.288 -11.598 -8.299 -12.68 -14.019 -1.347 -2.493 -1.37 0.487 -5.027 -5.086 -7.09 -8.843 -10.248 -10.651 -12.46 -13.073 -14.641 -14.706 -14.831 -14.974 -15.077 -11.501 -14.772 -14.847 -15.008 -15.212 -14.872 -14.795 -14.549 -14.244 -13.23 -12.755 -12.292 -8.661
3.85 -11.037 -1.864 -11.539 -8.21 -12.62 -14.005 -1.308 -2.449 -1.325 1.035 -4.782 -5.967 -6.9 -8.735 -10.11 -10.527 -12.361 -13.021 -14.639 -14.7 -14.825 -14.971 -15.083 -11.4 -14.759 -14.846 -15.01 -15.21 -14.852 -14.801 -14.553 -14.243 -13.336 -12.742 -12.222 -7.758
